curriculum_formatID,program_id,subject_id,academic_year,semester,all_credits
D11,DSI,"TU050,TU100,TU108,TU104,DSI100,DSI200,TU107",1,1,18
D12,DSI,"TU105,TU106,DSI201,DSI202,DSI204,DSI205",1,2,18
D21,DSI,"TU101,TU131,DSI203,DSI206,DX312,DX313,EL217",2,1,21
D22,DSI,"DSI207,DX310,DX311,DX314",2,2,18
D31,DSI,"DSI310,DSI311,DSI312,DSI313,DSI314",3,1,15
D32,DSI,"DSI320,DSI321,DSI322,DSI323,DSI324",3,2,15
D33,DSI,DSI380,3,3,1
D41,DSI,"{""3"":""DSI430,DSI431,DSI432,DSI433,DSI434"", ""4"":""DSI440,DSI441,DSI442,DSI443,DSI444"", ""5"":""DSI450,DSI451,DSI452,DSI453,DSI454"", ""6"":""DSI460,DSI461,DSI462,DSI463,DSI464"", ""7"":""DSI470,DSI471,DSI472,DSI473,DSI474""}",4,1,15
D42,DSI,DSI480,4,2,6
P11,PPE,"TU100, TU101, TU102, TU103, IP100, IP101",1,1,18
P12,PPE,"TU104,TU105,TU106,IP102,IP103//TU121,TU124,TU111,TU112,TU115,TU117,TU131,TU142,TU143,TU151,TU153,TU155,TH162,CH171,FR070,JP171,RS171,GR171,SP171,AS171,AS173,AS175,AS177,AS179, AS181,AS183,FL171,FL172",1,2,18
P21,PPE,"IP200, IP201, IP202, IP204, IP230, ""[TU121, TU124, TU111, TU112, TU115, TU117, TU131, TU142, TU143, TU151, TU153, TU155, TH162, CH171, CH172, FR070, FR171, FR172, JP171, JP172, RS171, RS172, GR171, GR172, SP171, SP172, AS171, AS172, AS173, AS174, AS175, AS176, AS177, AS178, AS179, AS180, AS181, AS182, AS183, AS184, EL171, EL172]""",2,1,18
P22,PPE,"IP231,IP232,IP203,""[[IP220,IP221],[IP222,IP223],[IP224,IP330]]""",2,2,21
P31,PPE,"""[IP320,IP323,IP325]"",""[TU121, TU124, TU111, TU112, TU115, TU117, TU131, TU142, TU143, TU151, TU153, TU155, TH162, CH171, CH172, FR070, FR171, FR172, JP171, JP172, RS171, RS172, GR171, GR172, SP171, SP172, AS171, AS172, AS173, AS174, AS175, AS176, AS177, AS178, AS179, AS180, AS181, AS182, AS183, AS184, EL171, EL172]"",""[IP346, IP347, IP348, IP349, IP356, IP357, IP358, IP359, IP366, IP367, IP368, IP369, IP376, IP377, IP378, IP379, IP387, IP388, IP389, IP396, IP397, IP398, IP399]""",3,1,15
P32,PPE,"""[[IP321,IP322],[IP324,IP325],[IP331,IP332]]"",""[IP346, IP347, IP348, IP349, IP356, IP357, IP358, IP359, IP366, IP367, IP368, IP369, IP376, IP377, IP378, IP379, IP387, IP388, IP389, IP396, IP397, IP398, IP399]"", IP501",3,2,17
P33,PPE,IP500,3,3,3
P41,PPE,"IP502, ""[IP446, IP 447, IP448, IP449, IP456, IP457, IP458, IP459, IP466, IP467, IP468, IP469, IP476, IP477, IP478, IP479, IP486, IP487, IP488, IP489, IP496, IP497, IP498, IP499]""",4,1,16
